代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,預期現金股利,現金殖利率,股利發放率中位數
1503,士電,521000,1404,2316248112.6640925,1526129.0,1804914.0,2009900.0,2348269.0,833556,833556,937750.0,1041944.0,0.5461897388752851,0.5195538402383715,0.5184058908403403,296.5,2024-06-28,1220052.1768627204,0.007897979154516838,0.5195538402383715
2347,聯強,1668000,1381,368938106.2934363,,,,,4336662,5504225,8339735.0,5837814.0,,,,73.1,2024-06-28,,,
9945,潤泰新,2844000,1294,360211340.765873,8557651.0,16242546.0,9155086.0,7744515.0,1003254,1504881,4213667.0,0.0,0.1758521117535641,0.2594215832911909,0.0,43.6,2024-06-28,1361889.3172571536,0.01098312008265553,0.1758521117535641
8299,群聯,204800,1290,1428641461.2403102,8699044.0,8147215.0,5401146.0,3624428.0,2561962,4532702,4532738.0,2836702.0,0.5210574863168872,0.5563542879376572,0.5252037252834861,617.0,2024-06-28,1903563.087621775,0.015064411083919284,0.5252037252834861
3036,文曄,1116000,1278,1373744642.111969,3794178.0,7923257.0,7631123.0,4012142.0,1645111,2589627,4701032.0,4082065.0,0.6825264919041752,0.5933206508384116,0.5349232347585015,124.0,2024-06-28,2380486.7026961264,0.0172020371046951,0.5933206508384116
8046,南電,646200,1254,983727477.6718148,3665917.0,10581525.0,19415584.0,5816589.0,452316,2196962,6461655.0,11630978.0,0.599293982924327,0.6106544189046474,0.5990537292105146,186.0,2024-06-28,3485846.7888438283,0.02900202997211014,0.599293982924327
1504,東元,2139000,1238,936173660.2200772,3511358.0,5013134.0,3457667.0,5830061.0,1918798,2459616,2887375.0,3208195.0,0.7004742894344581,0.575962062853297,0.927849616518884,53.5,2024-06-28,4083807.836334546,0.03568623504156931,0.7004742894344581
3481,群創,9079000,1235,1185987111.4404762,,,,,3247,3141271,11087601.0,0.0,,,,14.35,2024-06-28,,,
5483,中美晶,586200,1234,1058230627.9069768,,,,,2931109,5275995,8551737.0,8742111.0,,,,217.5,2024-06-28,,,
2360,致茂,425400,1204,692632574.3783784,2323776.0,4179232.0,5105824.0,3979247.0,1288777,1927668,3039348.0,3403176.0,0.8295412294472445,0.7272503656174149,0.6665282626271489,318.0,2024-06-28,2893908.835632001,0.021392435943618,0.7272503656174149
