,length_fast,length_slow,return,drawdown,sharp
335,13,35,-0.13147778645366065,5.303313562014883,-0.24042308603614004
283,12,23,-0.13291732169878834,5.780312555698024,-0.21643245067163125
106,7,46,-0.13640453344690898,5.361387775897805,-0.23495735600109907
130,8,30,-0.13679909265786552,5.450840774540834,-0.24089521573476033
547,18,47,-0.1383146391269956,5.4287647357761575,-0.2537521305152915
179,9,39,-0.14130007194966807,5.432075962933921,-0.23222642551135053
482,17,22,-0.14210116868815403,6.206669883276947,-0.23738839141770585
291,12,31,-0.15160384607532437,5.864378663340861,-0.2041883647246999
240,11,20,-0.1517121352200681,5.347161494161512,-0.2504444818946014
94,7,34,-0.15867192439195932,5.4303828636330875,-0.23226654259086807
127,8,27,-0.1596059385801683,5.144614941915949,-0.2698446390589565
468,16,48,-0.16464307138175735,5.176803865235168,-0.28057517027926443
134,8,34,-0.1649173657031132,5.50460371139826,-0.22853270430934386
292,12,32,-0.1652031540870452,5.81156332180099,-0.20900997307889552
368,14,28,-0.1661776704613656,5.4801590987566025,-0.24354764532270054
470,16,50,-0.16840426730996505,5.055169988552486,-0.29281205457502946
539,18,39,-0.17050972083802143,5.705676906443383,-0.2558244113531832
510,17,50,-0.1738732830614909,5.469376706715426,-0.25933802292540664
328,13,28,-0.17659556770654372,5.4801590987566025,-0.2463825641333715
369,14,29,-0.17694041662481633,5.789647301118239,-0.21480370412708957
524,18,24,-0.17938658215539008,6.240411678400793,-0.2040037847451185
